사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-24,2호선,247,도림천,0,0,468,409,1352,1002,2935,3808,3364,4995,2233,2246,2023,1457,1771,1494,2303,1807,1855,1638,2117,1869,2505,1831,2884,1962,2790,2425,3574,3295,1596,2471,1081,1785,931,1645,556,1249,244,850,44,296,1,8,0,0,0,0
Jun-24,2호선,248,양천구청,24,0,5358,1033,12130,2443,30138,4616,28592,9131,17445,5643,12284,4817,10937,5522,10849,6977,9998,8196,7835,8785,7724,11402,9083,14008,9090,19084,8864,28466,4442,23072,3085,14118,2672,13655,2571,11070,850,8201,179,2464,0,14,0,0,0,0
Jun-24,2호선,249,신정네거리,73,1,8962,931,17998,2784,47265,4881,42358,11204,24962,8646,17848,7961,15737,9209,16286,9783,14650,11712,12855,13100,11713,17161,12856,22207,12888,29970,11140,46275,7494,33433,5876,20019,4742,18388,3810,16389,1575,10783,323,3063,2,136,0,0,0,0
Jun-24,2호선,250,용두(동대문구청),74,2,1135,176,1789,1004,5447,2448,8536,5233,4988,4147,4104,3566,4095,3841,4344,3661,4401,4213,4618,4151,4753,4824,5011,4769,5133,5603,5548,8534,2780,5560,2119,3466,1882,3362,862,2531,384,1505,73,505,0,4,0,0,0,0
Jun-24,3호선,309,지축,5,0,3214,799,11730,8363,30180,6347,30521,11417,17133,7253,11900,6303,10037,6487,10286,7768,9833,8737,9130,8323,11453,10399,13418,13957,13244,17959,10046,28214,7089,21911,5901,15283,4992,13290,3949,11944,1622,6820,252,1193,0,0,0,1,0,0
Jun-24,3호선,310,구파발,129,10,12627,1467,34956,10948,80219,22383,77717,30258,46401,27694,33008,29700,31342,26619,32433,27930,30862,29432,31299,30458,35362,31893,41199,38729,39746,46971,30731,72172,20725,59574,17919,35596,15467,32753,11704,29197,3399,20105,553,8144,1,487,0,0,0,0
Jun-24,3호선,311,연신내,295,6,26824,2063,49428,12805,113701,22051,132846,34701,81335,34554,57638,34389,53461,35816,57491,37600,52709,40876,47902,43732,49952,54532,56234,63859,51283,82477,46040,121266,33765,100147,28370,62124,24379,58832,19584,52855,9155,34213,1267,10949,3,15,0,0,0,0
Jun-24,3호선,312,불광,48,6,9575,1343,20222,6272,50328,12050,61822,31598,37799,28014,27499,23893,25685,23865,26757,26540,26669,29154,25932,28194,27902,31046,29281,35396,28360,41339,29711,59469,17494,45460,14214,29087,11682,26238,8296,23775,3353,13653,429,4144,0,0,0,0,0,0
Jun-24,3호선,313,녹번,60,3,10249,520,25960,3842,68115,7767,73222,16615,42498,11191,28266,9668,23256,10955,23015,12538,20709,14268,18195,15983,17251,20989,17560,26694,18005,36672,18783,58436,10174,47620,8120,29467,6226,27707,4479,24888,1614,14709,234,3727,0,0,0,1,0,0
Jun-24,3호선,314,홍제,94,7,10862,1533,24394,7386,62981,10727,68920,24393,45380,21165,32995,19881,30099,18956,31618,20132,28729,22443,26947,25294,27121,29646,29032,35628,29228,43852,27071,59815,16067,49579,13119,31237,10595,28577,7575,25192,2964,15535,406,3723,0,0,1,1,0,0
Jun-24,3호선,315,무악재,33,2,2314,141,5512,1548,16578,2990,19398,5404,12163,3890,8615,3839,7600,3787,7002,4547,6059,5167,5739,5833,5308,7186,5935,9013,6690,11310,6643,15808,3590,13304,2766,8411,2047,8144,1448,7056,657,4814,130,1291,0,1,0,0,0,0
Jun-24,3호선,316,독립문,222,5,4881,979,6599,6105,15052,15332,18761,21556,15326,20994,14036,17913,14005,12528,15652,12486,14774,13142,14956,12330,17778,12902,17586,13703,17815,15232,16817,17214,8515,13295,6675,9350,5367,8256,3648,7504,1262,4562,189,2041,1,632,0,0,0,0
Jun-24,3호선,317,경복궁(정부서울청사),65,2,2596,1572,6256,14867,13375,41900,20414,126730,20161,87549,20035,62312,27707,55468,35828,48836,43028,50275,51220,41657,58240,38400,68936,34727,85585,35380,108136,34751,46947,22086,40247,12454,38983,11161,25295,10088,9395,5545,990,1527,1,24,0,0,0,0
Jun-24,3호선,318,안국,27,1,1803,2116,3112,24760,5736,89309,10612,120336,15311,86055,18840,68446,26161,70048,37357,60423,42095,56690,52292,52025,66487,42169,87684,38436,116496,33399,117413,28486,56343,14381,48136,8061,40016,6687,21384,6137,6750,3459,786,964,0,0,0,0,0,0
Jun-24,3호선,319,종로3가,36,2,1061,1245,1490,6367,2206,15701,3432,41112,5772,40546,8692,34822,11105,29209,13453,27415,15178,25609,18237,24362,21261,22384,27005,22960,37858,22669,52213,22184,28650,13301,21574,8047,23111,6226,19346,4841,9806,2988,1260,1046,0,12,0,0,0,0
Jun-24,3호선,320,을지로3가,36,0,766,1187,1394,10128,3970,33745,7217,72798,9097,29368,10512,15638,11104,14135,11629,14016,13544,14340,15787,13268,17564,13429,21044,15673,41133,18808,62303,22000,26398,13262,19425,7572,19974,5877,17127,4669,9428,2951,1253,715,0,2,0,0,0,0
Jun-24,3호선,321,충무로,0,0,0,0,1,0,3,0,5,0,9,0,16,0,20,0,7,0,26,0,23,0,15,0,21,0,32,0,40,0,31,0,8,0,14,0,6,0,6,0,1,0,0,0,0,0,0,0
Jun-24,3호선,322,동대입구,15,0,1831,1051,2841,10423,5821,16670,8172,55456,8003,37451,9080,31444,11204,24795,12953,20595,17354,20535,19868,16678,21982,13711,25467,16305,34086,18628,41735,18995,20315,10871,24546,6638,18456,6320,14628,4865,4458,2855,574,1049,0,48,1,1,0,0
Jun-24,3호선,323,약수,132,2,6814,1173,10596,6691,25042,15071,34952,31747,25775,21418,19048,15965,18302,16168,20346,15813,20385,16645,19787,18585,21119,19653,23043,24418,26450,29276,31026,40557,18695,26271,16103,18536,15449,16589,11341,15153,5353,8886,811,3375,3,472,0,0,0,0
Jun-24,3호선,324,금호,40,1,4474,563,10578,2585,26525,4567,35878,8957,22441,6952,14961,6863,13002,7222,12463,8039,11504,9755,10102,10629,10115,12873,10922,15845,11597,20028,10944,28567,8258,20709,6025,14497,4616,13013,3516,12778,1602,6617,291,1736,0,0,0,0,0,0
Jun-24,3호선,325,옥수,212,2,3305,930,9356,4491,22030,7836,30414,12396,21859,10644,16214,8484,14407,10386,13585,11631,13655,12879,13394,13925,14076,16509,15533,19365,16464,25261,16254,33177,11670,23919,10130,16733,9147,14947,6213,14130,2603,7055,382,1883,0,1,0,0,0,0
Jun-24,3호선,326,압구정,70,5,3224,2384,8776,24555,15469,48890,24605,136816,21237,142350,26914,76897,32402,65087,39356,52211,43827,53707,53009,48646,61822,46893,72101,45894,93517,53958,127433,55332,87644,31959,70061,18086,51496,14401,35188,12380,11262,6566,1642,2189,4,199,0,0,0,0
Jun-24,3호선,327,신사,62,6,4129,1721,6890,17586,11259,40050,17011,100953,16252,125768,19272,65137,25761,47978,29132,44801,34454,47183,41248,44097,48989,39736,58951,43459,84979,51224,116541,61385,80451,33263,57613,18645,58138,14811,48772,12134,21286,8118,3154,3381,2,6,0,0,0,0
