년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2021-01,AFR,AF,프랑스항공,국제,CDG,도착,부정기,화물,0,0,0,172116,0,3021,0
2021-01,AFR,AF,프랑스항공,국제,CDG,출발,정기,여객,755,7,15,355497,0,18080,21947
2021-01,AFR,AF,프랑스항공,국제,CDG,출발,부정기,화물,0,0,0,122218,0,3311,0
2021-01,AHK,LD,에어홍콩,국제,HKG,도착,정기,화물,0,0,0,915342,0,0,0
2021-01,AHK,LD,에어홍콩,국제,HKG,출발,정기,화물,0,0,0,994840,0,0,0
2021-01,AIC,AI,인도항공,국제,DEL,도착,부정기,화물,0,0,0,6215,0,5076,0
2021-01,AIC,AI,인도항공,국제,DEL,출발,부정기,화물,0,0,0,96545,0,7162,0
2021-01,AIC,AI,인도항공,국제,MAA,도착,부정기,여객,251,0,0,3983,0,3668,8692
2021-01,AIC,AI,인도항공,국제,MAA,출발,부정기,여객,398,1,4,0,0,0,22610
2021-01,AIH,KJ,에어인천,국제,CKG,도착,부정기,화물,0,0,0,54004,0,0,0
2021-01,AIH,KJ,에어인천,국제,CKG,출발,부정기,화물,0,0,0,49842,0,0,0
2021-01,AIH,KJ,에어인천,국제,CTU,도착,정기,화물,0,0,0,126698,0,346,0
2021-01,AIH,KJ,에어인천,국제,CTU,도착,부정기,화물,0,0,0,63026,0,134,0
2021-01,AIH,KJ,에어인천,국제,CTU,출발,정기,화물,0,0,0,103815,0,0,0
2021-01,AIH,KJ,에어인천,국제,CTU,출발,부정기,화물,0,0,0,56826,0,0,0
2021-01,AIH,KJ,에어인천,국제,UUS,도착,정기,화물,0,0,0,1833,0,0,0
2021-01,AIH,KJ,에어인천,국제,UUS,출발,정기,화물,0,0,0,283,0,0,0
2021-01,AIH,KJ,에어인천,국제,YNT,도착,정기,화물,0,0,0,128991,0,0,0
2021-01,AIH,KJ,에어인천,국제,YNT,출발,정기,화물,0,0,0,414256,0,0,0
2021-01,AJX,NQ,에어재팬,국제,NRT,도착,정기,화물,0,0,0,757741,4321,84171,0
2021-01,AJX,NQ,에어재팬,국제,NRT,출발,정기,화물,0,0,0,941598,0,44799,0
2021-01,ALK,UL,스리랑칸 에어라인즈,국제,CMB,도착,부정기,여객,9,0,0,11645,0,0,110
2021-01,ALK,UL,스리랑칸 에어라인즈,국제,CMB,출발,부정기,여객,143,0,0,37421,0,0,5367
2021-01,AMX,AM,AEROMEXICO,국제,MEX,도착,정기,여객,743,4,32,30983,0,0,23179
2021-01,AMX,AM,AEROMEXICO,국제,MEX,출발,정기,여객,912,10,64,113629,0,0,36507
2021-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,부정기,화물,0,0,0,32840,0,0,0
2021-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,부정기,여객,89,2,5,8664,0,0,2825
2021-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,부정기,화물,0,0,0,40281,0,0,0
2021-01,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,부정기,여객,22,0,2,16113,0,0,657
2021-01,ASV,RS,에어서울,국제,ICN,도착,부정기,여객,117,0,0,0,0,0,0
2021-01,ASV,RS,에어서울,국제,ICN,출발,부정기,여객,117,0,0,0,0,0,0
2021-01,ASV,RS,에어서울,국제,TAO,도착,정기,여객,282,0,38,0,0,0,6417
2021-01,ASV,RS,에어서울,국제,TAO,출발,정기,여객,554,4,0,0,0,0,11639
2021-01,ASV,RS,에어서울,국제,YNT,도착,정기,여객,88,1,0,95,0,0,1712
2021-01,ASV,RS,에어서울,국제,YNT,도착,부정기,여객,99,0,1,746,0,0,1971
2021-01,ASV,RS,에어서울,국제,YNT,출발,정기,여객,263,3,0,89,0,0,5731
2021-01,ASV,RS,에어서울,국제,YNT,출발,부정기,여객,200,2,1,0,0,0,4334
2021-01,AUI,PS,UKRAINE INT AIRLINES,국제,KBP,출발,부정기,화물,0,0,0,21011,0,0,0
2021-01,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,정기,화물,0,0,0,218971,0,3,0
2021-01,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,부정기,화물,0,0,0,328149,0,24,0
2021-01,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,정기,화물,0,0,0,888601,0,6955,0
2021-01,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,부정기,화물,0,0,0,561131,0,2851,0
2021-01,BAV,QH,뱀부항공,국제,HAN,도착,부정기,화물,0,0,0,430743,504,100315,0
2021-01,BAV,QH,뱀부항공,국제,HAN,출발,부정기,화물,0,0,0,405245,0,12879,0
2021-01,BAW,BA,영국항공,국제,LHR,도착,부정기,화물,0,0,0,36326,0,0,0
2021-01,BAW,BA,영국항공,국제,LHR,출발,부정기,화물,0,0,0,74861,0,0,0
2021-01,BOX,3S,에어로로직,국제,LEJ,도착,정기,화물,0,0,0,1570947,0,0,0
2021-01,BOX,3S,에어로로직,국제,LEJ,출발,정기,화물,0,0,0,70448,0,0,0
